abonent =>  predplatiteľ
analogický =>  obdobný
analogický =>  podobný
anály =>  letopisy
analyzovať =>  demontovať
analyzovať =>  rozmontovať
analyzovať =>  rozoberať
anarchia =>  bezvládie
anarchia =>  chaos
anarchia =>  neporiadok
anarchia =>  spleť
anarchia =>  zmätok
anekdota =>  psina
anekdota =>  sranda
anekdota =>  vtip
anekdota =>  zábava
anekdota =>  špás
anekdota =>  žart
Angličan =>  Brit
ani jeden =>  žiadny
animálny =>  bezcitný
animálny =>  beštiálny
animálny =>  brutálny
animálny =>  hrubý
animálny =>  krutý
animálny =>  surový
animálny =>  zverský
OK =>  okej
OK =>  súhlas
OK =>  áno
anomália =>  nepravidelnosť
anomália =>  odchýlenie
anomália =>  odchýlka
anomália =>  odklon
anomália =>  odklonenie
anomália =>  odvrat
anomália =>  rozdiel
anomália =>  výkyv
anomália =>  výnimočnosť
antagonista =>  odporca
antagonista =>  oponent
antagonista =>  protivník
antagonista =>  sok
antagonista =>  súper
antagonistický =>  protichodný
anticipovať =>  očakávať
anticipovať =>  predvídať
antika =>  dávnovek
antipatia =>  averzia
antipatia =>  hnus
antipatia =>  nechuť
antipatia =>  nevôľa
antipatia =>  neľúbosť
antipatia =>  odpor
antipatia =>  odpornosť
antipatia =>  ohavnosť
antipatia =>  ošklivosť
antipatia =>  rezistencia
antiseptikum =>  dezinfekčný prostriedok
anuita =>  dôchodok
anuita =>  renta
anuita =>  splátka
anulovanie =>  prehlásenie neplatným
anulovanie =>  rozpustenie
anulovanie =>  stornovanie
anulovanie =>  zrušenie
anulovateľný =>  zrušiteľný
apartný =>  elegantný
apartný =>  slušivý
apatia =>  bezcitnosť
apatia =>  chlad
apatia =>  letargia
apatia =>  nezáujem
apatia =>  neúčasť
apatia =>  otupenosť
apatia =>  pasivita
apatia =>  ľahostajnosť
apatický =>  bezmyšlienkovitý
apatický =>  bezstarostný
apatický =>  driemajúci
apatický =>  flegmatický
apatický =>  lenivý
apatický =>  nemajúci záujem
apatický =>  nevšímavý
apatický =>  nezúčastnený
apatický =>  nečinný
apatický =>  záhaľčivý
apatický =>  ľahostajný
apelovať =>  dovolávať sa
aplaudovať =>  tlieskať
aplaudujúci =>  tlieskajúci
aplauz =>  potlesk
aplikácia =>  použitie
aplikácia =>  používanie
aplikácia =>  uplatnenie
aplikácia =>  upotrebenie
aplikácia =>  užitie
aplikácia =>  užívanie
aplikácia =>  vloženie
aplikácia =>  vsadenie
aplikovať =>  použiť
aplikovať =>  užiť
apodiktický =>  nepochybný
apodiktický =>  nepopierateľný
apodiktický =>  nesporný
argot =>  hantírka
argot =>  slang
argot =>  žargón
argument =>  dôkaz
argument =>  fakt
architekt =>  budovateľ
architekt =>  developer
architekt =>  konštruktér
architekt =>  stavbár
architekt =>  staviteľ
aristokracia =>  šľachta
aristokratický =>  šľachtický
aristokrat =>  patricij
aristokrat =>  šľachtic
aróma =>  buket
aróma =>  odor
aróma =>  pach
aróma =>  parfum
aróma =>  puch
aróma =>  smrad
aróma =>  vôňa
aróma =>  zápach
aromatický =>  vonný
aromatický =>  voňavý
artéria =>  tepna
artikulácia =>  výslovnosť
artikulovať =>  hovoriť zreteľne
asfalt =>  decht
asimilácia =>  prispôsobenie
asimilácia =>  splynutie
asimilácia =>  spodobenie
nádenník =>  pomocná sila
nádenník =>  pomocník
nádenník =>  pomocný robotník
nádenník =>  pracujúci
nádenník =>  robotník
askéza =>  odriekanie
askéza =>  sebazaprenie
aspekt =>  hľadisko
aspekt =>  ohľad
aspekt =>  postoj
aspekt =>  stanovisko
aspekt =>  zorný uhol
aspekt =>  zreteľ
aspik =>  huspenina
aspik =>  rôsol
aspoň =>  hoci len
aspoň =>  najmenej
aspoň =>  prinajmenej
aspoň =>  prinajmenšom
aspoň =>  čo len
astma =>  dýchavica
astma =>  dýchavičnosť
astma =>  záduch
bosorák =>  mág
bosorák =>  čarodej
bosorák =>  čarodejník
bosorák =>  černokňažník
asymetria =>  nesúmernosť
asymetrický =>  nerovnaký
asymetrický =>  nesymetrický
asymetrický =>  nesúmerný
asymetrický =>  šišatý
ašpirant =>  kandidát
ašpirant =>  uchádzač
ašpirant =>  čakateľ
ašpirant =>  žiadateľ
barbar =>  divoch
barbar =>  surovec
barbar =>  vandal
atestácia =>  certifikát
atestácia =>  doklad
atestácia =>  osvedčenie
atestácia =>  posudok
atestácia =>  potvrdenie
atestácia =>  vysvedčenie
atmosféra =>  nálada
atmosféra =>  ovzdušie
atmosféra =>  pomery
atmosféra =>  povetrie
atmosféra =>  prostredie
atmosféra =>  ráz
atmosféra =>  situácia
atmosféra =>  stav
atmosféra =>  vzduch
audiencia =>  oficiálne prijatie
auditórium =>  aula
auditórium =>  dvorana
auditórium =>  foyer
auditórium =>  hala
auditórium =>  poslucháreň
auditórium =>  predsieň
auditórium =>  sieň
auditórium =>  spoločenská miestnosť
auditórium =>  sál
auditórium =>  sála
auditórium =>  vestibul
auditórium =>  vstupná hala
aura =>  aureola
aura =>  gloriola
aura =>  nymbus
aura =>  svätožiara
autarktný =>  samostatný
autarktný =>  sebestačný
auto =>  automobil
auto =>  fáro
auto =>  kára
auto =>  vagón
auto =>  voz
auto =>  vozidlo
autobus =>  autokar
autokemping =>  kemp
autokemping =>  kemping
autokracia =>  samovláda
automatický =>  robotický
automatický =>  samočinný
automatizovať =>  mechanizovať
autoritatívny =>  diktátorský
autoritatívny =>  rozkazovačný
avantgardný =>  novátorský
avantgardný =>  pokrokový
avantgardný =>  priekopnícky
avantgardný =>  progresívny
aeronaut =>  aviatik
aeronaut =>  letec
aeronaut =>  pilot
avízo =>  informácia
avízo =>  oznam
avízo =>  oznámenie
avízo =>  popis
avízo =>  správa
avízo =>  zvesť
azúr =>  blankyt
azúrový =>  blankytný
azyl =>  bezpečie
azyl =>  úkryt
azyl =>  útočisko
azyl =>  útulok
až až =>  mnoho
až až =>  priveľa
až až =>  príliš veľa
až až =>  rozhorčenie
až až =>  rozčarovanie
až až =>  veľa
až =>  keď
bábka =>  marioneta
babroš =>  babrák
babroš =>  drevo
babroš =>  laik
babroš =>  nedouk
babroš =>  nemehlo
babroš =>  poleno
babroš =>  ťarbák
babroš =>  ťuťmák
bádanie =>  preskúmanie
bádanie =>  prieskum
bádanie =>  pátranie
bádanie =>  skúmanie
bádanie =>  výskum
bádateľ =>  intelektuál
bádateľ =>  inteligent
bádateľ =>  učenec
bádateľ =>  vedec
bádateľ =>  vedecký pracovník
bádateľ =>  vzdelanec
bádateľ =>  výskumník
bádať =>  hĺbať
bádať =>  poznávať
bádať =>  pozorovať
bádať =>  skúmať
bádať =>  študovať
bagatelizovať =>  podceňovať
bagatelizovať =>  znesväcovať
bagatelizovať =>  znevažovať
bagatelizovať =>  znižovať
bagatelizovať =>  zľahčovať
bahnisko =>  bahurina
bahnisko =>  barina
bahnisko =>  bažina
bahnisko =>  blato
bahnisko =>  mokraď
bahnisko =>  močarina
bahnisko =>  močiar
bahnisko =>  rašelinisko
bahnisko =>  slatina
bahnisko =>  trasovisko
bahno =>  hlien
bahno =>  kal
bahno =>  naplavenina
bahno =>  nános
bahno =>  sediment
bahno =>  sliz
bahno =>  usadenina
bahno =>  zrazenina
bachor =>  pupok
bachor =>  veľké brucho
bájiť =>  vymýšľať si
báj =>  mýtus
bájny =>  fantastický
bájny =>  mýtický
bájny =>  neskutočný
bájny =>  rozprávkový
bájny =>  vybájený
bájny =>  vymyslený
baklažán =>  ľuľok
baktéria =>  mikroorganizmus
baktéria =>  mikrób
balast =>  príťaž
balast =>  zaťaženie
balast =>  záťaž
baliť =>  pakovať
balzam =>  hojivá masť
baňa =>  jama
baňa =>  uhoľná baňa
baňa =>  šachta
banalita =>  banálnosť
banálny =>  jednoduchý
banálny =>  neprikrášlený
banálny =>  obyčajný
banálny =>  prostý
banálny =>  prozaický
banálny =>  radový
banálny =>  tuctový
banálny =>  všedný
banálny =>  ľudový
banda =>  chamraď
banda =>  gang
banda =>  horda
banda =>  háveď
banda =>  partia
banda =>  svorka
banda =>  zberba
banda =>  čvarga
bandita =>  gangster
bandita =>  lupič
bandita =>  lúpežník
bandita =>  podvodník
bandita =>  vydierač
bandita =>  zbojník
bandita =>  zlodej
bandita =>  zločinec
baníctvo =>  produkcia
baníctvo =>  ťažba
baník =>  haviar
bankár =>  finančník
banket =>  hody
banket =>  hostina
banket =>  recepcia
baránok =>  jahňa
barbarstvo =>  krutosť
barbarstvo =>  ukrutnosť
barbarstvo =>  zverstvo
barel =>  kaďa
barel =>  sud
bar =>  klub
bar =>  nočný podnik
barometer =>  tlakomer
barón =>  magnát
barón =>  veľmož
basa =>  basová gitara
basa =>  kontrabas
básniť =>  veršovať
sada =>  súbor
sada =>  súprava
batoh =>  noša
batoh =>  pinkeľ
batoh =>  plecniak
batoh =>  ruksak
batoh =>  uzol
batoh =>  vak
batožina =>  kufor
báť sa =>  desiť sa
báť sa =>  hroziť sa
báť sa =>  mať obavu
báť sa =>  mať strach
báť sa =>  obávať sa
báť sa =>  strachovať sa
báť sa =>  triasť sa
báť sa =>  tŕpnuť
báť sa =>  ľakať sa
báť sa =>  štítiť sa
baviť =>  rozveseľovať
baviť =>  tešiť
baviť =>  zabávať
baviť =>  zaujímať
báza =>  koreň
báza =>  podklad
báza =>  základ
báza =>  základňa
bazén =>  krytý bazén
bazén =>  plavecký bazén
bazén =>  plaváreň
bázlivec =>  zbabelec
bázlivý =>  ustrašený
bázlivý =>  zbabelý
bažiť =>  dychtiť
bažiť =>  hladovať
bažiť =>  lačnieť
bažiť =>  prahnúť
bažiť =>  smädiť
bažiť =>  túžiť
bdelosť =>  ostražitosť
bdieť =>  bedliť
bdieť =>  dbať
bdieť =>  dohliadať
bdieť =>  dozerať
bdieť =>  dávať pozor
bdieť =>  hliadkovať
bdieť =>  nespať
bdieť =>  pozorovať
bdieť =>  strážiť
bečať =>  mekotať
bečať =>  mečanie
bečať =>  mečať
bedrá =>  chrbtica
bedrá =>  chrbát
bedrá =>  opora
beh =>  chod
beh =>  hnutie
beh =>  pohyb
beh =>  činnosť
benevolentný =>  zhovievavý
besniť =>  hnevať sa
besniť =>  jedovať sa
besniť =>  ježiť sa
besniť =>  mať zlosť
besniť =>  soptiť
besniť =>  srdiť sa
besniť =>  vyvádzať
besniť =>  zlostiť sa
besniť =>  zúriť
besniť =>  štvať sa
bezbožný =>  hrešiaci
bezbožný =>  hriešny
bezbožný =>  nepoctivý
bezbožný =>  nečestný
bezbožný =>  ničomný
bezbožný =>  podlý
bezbožný =>  rúhavý
bezbožný =>  skazený
bezdôvodný =>  neopodstatnený
bezduchý =>  mŕtvy
bezduchý =>  nebohý
bezduchý =>  nebožký
bezduchý =>  nebožtík
bezduchý =>  neživý
bezduchý =>  umretý
bezduchý =>  zomrelý
bezduchý =>  zosnulý
bezhlučný =>  nehlučný
bez chrbtovej kosti =>  bezcharakterný
bez chrbtovej kosti =>  bezzásadový
bez ladu a skladu =>  piate cez deviate
beznádejný =>  nešťastný
beznádejný =>  skormútený
beznádejný =>  skľúčený
beznádejný =>  smutný
beznádejný =>  zarmútený
beznádejný =>  zdrvený
beznádejný =>  zúfalý
beznádej =>  zúfalstvo
bez obalu =>  bez okolkov
bez obalu =>  bezprostredne
bez obalu =>  otvorene
bez obalu =>  presne
bez obalu =>  priamo
bez obalu =>  práve
bez obalu =>  rovno
bez obalu =>  verejne
bez obalu =>  úprimne
bezobsažný =>  jalový
bezobsažný =>  lacný
bezobsažný =>  ničotný
bezobsažný =>  planý
bezobsažný =>  plytký
bezobsažný =>  povrchný
bezobsažný =>  prázdny
bezohľadnosť =>  hrubosť
bezohľadnosť =>  netaktnosť
bezohľadnosť =>  nezodpovednosť
bezohľadnosť =>  nešetrnosť
nespoľahlivý =>  nezodpovedný
cez =>  krížom
cez =>  naprieč
cez =>  skrz
bezpečnostná schránka =>  sejf
bezpečnostná schránka =>  trezor
bezpodmienečný =>  bezvýhradný
bezprávie =>  krivda
bezprávie =>  neférovosť
bezprávie =>  neprávosť
bezprávie =>  nespravodlivosť
bezprávie =>  ublíženie
bezprávny človek =>  pária
bezprávny človek =>  vydedenec
bezprávny človek =>  vyvrheľ
bez príčiny =>  bezdôvodne
bez prostriedkov =>  v biede
bezúhonnosť =>  férovosť
bezúhonnosť =>  poctivosť
bezúhonnosť =>  čestnosť
bezúhonný =>  férový
bezúhonný =>  korektný
bezúhonný =>  morálny
bezúhonný =>  mravný
bezúhonný =>  poctivý
bezúhonný =>  počestný
bezúhonný =>  seriózny
bezúhonný =>  slušný
bezúhonný =>  vzorný
bezúhonný =>  vážený
bezúhonný =>  čestný
bezuzdný =>  divoký
bezuzdný =>  neskrotný
bezuzdný =>  neviazaný
bezuzdný =>  zhýralý
bezvedomie =>  mdloba
bezvedomie =>  mrákota
bezvedomie =>  nemohúcnosť
bezvedomie =>  obnubilácia
bezvedomie =>  slabosť
bezvedomie =>  strata vedomia
bezvedomie =>  závrat
nehnutý =>  nehybný
nehnutý =>  nemeniaci sa
nehnutý =>  nemenný
nehnutý =>  stojatý
bezvlasý =>  lysý
bezvlasý =>  obnažený
bezvýznamná osoba =>  nič
bezvýznamná osoba =>  nula
bez života =>  fádny
bez života =>  jednotvárny
bez života =>  mdlý
bez života =>  nudný
bežný jav =>  samozrejmosť
Písmo sväté =>  biblia
Písmo sväté =>  posvätná kniha
Písmo sväté =>  písmo
bitie =>  bičovanie
bitie =>  výprask
bitie =>  šľahanie
bičovať =>  zbičovať
bičovať =>  šľahať bičom
núdza =>  strasť
núdza =>  súženie
núdza =>  tieseň
núdza =>  trápenie
núdza =>  utrpenie
núdza =>  ťažkosť
bifľovať =>  šprtať
bilancia =>  rozvaha
bilaterálny =>  dvojstranný
binárny =>  dvojkový
binárny =>  dvojčlenný
bitevné pole =>  bojisko
bitevné pole =>  bojové pole
bitevné pole =>  pole
bitevné pole =>  vojnové pole
bitka =>  boj
bitka =>  borba
bitka =>  konflikt
bitka =>  konfrontácia
bitka =>  nešvár
bitka =>  rozpor
bitka =>  zrážka
bitka =>  zápas
biť sa =>  bojovať
biť sa =>  potýkať sa
biť sa =>  viesť boj
biť sa =>  zápasiť
biť sa =>  zápoliť
biť sa =>  ťahať sa
bitúmen =>  živica
bituminózny =>  živičný
blahobyt =>  bujnosť
blahobyt =>  dostatok
blahobyt =>  hojnosť
blahobyt =>  opulencia
blahodarný =>  dobrý
blahodarný =>  prospešný
blahodarný =>  užitočný
blahodarný =>  výhodný
blaho =>  dobro
blaho =>  prospech
blaho =>  zisk
blaho =>  úžitok
blahoprianie =>  gratulácia
blahovôľa =>  tolerancia
blahovôľa =>  zhovievavosť
blahovôľa =>  zmierlivosť
blahovôľa =>  znášanlivosť
blamáž =>  hanba
blamáž =>  prešľap
blamáž =>  škandál
blanketa =>  dotazník
blanketa =>  formulár
blanketa =>  tlačivo s otázkami
blatový =>  zablatený
blbnúť =>  blázniť
blbnúť =>  šalieť
blbosť =>  drobnosť
blbosť =>  hlúposť
blbosť =>  lapália
blbosť =>  maličkosť
blbosť =>  problém
blbec =>  debil
blbec =>  hlupák
blbec =>  idiot
blbec =>  imbecil
blbec =>  slabomyseľný človek
blbec =>  trúba
blbec =>  vôl
blednúť =>  miznúť
blednúť =>  poblednúť
blednúť =>  strácať
blednúť =>  zblednúť
bledý =>  pobledlý
blikanie =>  mihotanie
blikať =>  klipkať
blikať =>  lupkať
blikať =>  mihať
blikať =>  mrkať
blikať =>  žmurkať
blízkosť =>  dotyk
blízkosť =>  kontakt
blízkosť =>  styk
blízky =>  neďaleký
blízky =>  opodiaľ
blížiť sa =>  približovať sa
blok =>  kocka
blok =>  kváder
blokovať =>  prekážať
blokovať =>  zablokovať
blokovať =>  zatarasiť
blond =>  svetlý
balamutenie =>  blud
balamutenie =>  humbug
balamutenie =>  ilúzia
balamutenie =>  klam
balamutenie =>  lesť
balamutenie =>  mylný dojem
balamutenie =>  podraz
balamutenie =>  podvod
balamutenie =>  pretvárka
balamutenie =>  švindeľ
bludička =>  svetielko
bludisko =>  labyrint
blúdiť =>  chodiť sem a tam
blúdiť =>  potulovať sa
blúdiť =>  túlať sa
blúzniť =>  fantazírovať
blúzniť =>  predstavovať si
blúzniť =>  sniť
blúznivec =>  donkichot
blúznivec =>  fantasta
blúznivec =>  rojko
bobor =>  bobria kožušina
bočné =>  laterálne
bočné =>  postranné
bočné =>  vedľajšie
bodanie =>  pálenie
bodanie =>  rezanie
bodavá bolesť =>  bodnutie
bodavá bolesť =>  pichnutie
bodavá bolesť =>  seknutie
bodec =>  hrot
bodec =>  ihla
bodec =>  špica
bodec =>  špička
bodkovaný =>  fľakatý
bodkovaný =>  škvrnitý
bodľavý =>  ostrý
bodľavý =>  pichľavý
bodnúť =>  pichnúť
bodnúť =>  pobodať
bodnúť =>  poštípať
bodnúť =>  prebodnúť
bodnúť =>  prepichnúť
bodnúť =>  preraziť
bohatier =>  hrdina
bohatier =>  junák
bohatstvo =>  komfort
bohatstvo =>  luxus
bohatstvo =>  nadbytok
bohatstvo =>  prebytok
bohatstvo =>  prepych
bohatstvo =>  prosperita
bohatý =>  hojný
bohatý =>  opulentný
bohatý =>  veľkorysý
bohatý =>  značný
bohatý =>  štedrý
boh =>  bôžik
boh =>  modla
bohužiaľ =>  nanešťastie
bohužiaľ =>  žiaľbohu
bojovník =>  frontový vojak
bojovnosť =>  bojový duch
bokom =>  opodiaľ
boľavé miesto =>  rana
boľavé miesto =>  zranenie
chorý =>  morbídny
chorý =>  nezdravý
bolesť =>  bôľ
bolesť =>  martýrium
bolesť =>  muky
bolesť =>  súženie
bolesť =>  utrpenie
boľševik =>  komunista
bombardovať =>  zasypávať
bomba =>  rozruch
bomba =>  senzácia
bomba =>  sranda
bombastický =>  honosný
bombastický =>  majestátny
bombastický =>  nadutý
bombastický =>  nafúknutý
bombastický =>  okázalý
bombastický =>  oslňujúci
bombastický =>  pompézny
bombastický =>  veľkolepý
bombastický =>  vznešený
bonbón =>  cukrovinka
borec =>  športovec
borina =>  borovicový les
borovica =>  sosna
bosý =>  neobutý
bozkávať sa =>  pusinkovať sa
bozk =>  pobozkanie
bozk =>  pusa
božský =>  nadpozemský
božsky =>  nebesky
božsky =>  vznešene
brak =>  menejcenný tovar
brak =>  nehodnotná vec
brána =>  bránka
brána =>  dvere
brána =>  vchod
brána =>  vjazd
brána =>  vráta
brána =>  vrátka
brána =>  vstup
branec =>  odvedenec
bránenie =>  prekážanie
brániť =>  obmedziť
brániť =>  obmedzovať
brániť =>  zväzovať
brániť sa =>  ohradiť sa
brániť sa =>  protestovať
bratanec =>  bratranec
bratať sa =>  bratríčkovať sa
bratať sa =>  kamarátiť sa
bratať sa =>  priateliť sa
bratstvo =>  cech
bratstvo =>  korporácia
bratstvo =>  spolok
bratstvo =>  spoločenstvo
bravúra =>  majstrovstvo
bravúra =>  virtuozita
brloh =>  pelech
brloh =>  skrýš
brloh =>  skrýša
brloh =>  úkryt
brloh =>  útočisko
brnkať =>  drnkať
brnknúť =>  zatelefonovať
brnknúť =>  zavolať
brok =>  guľka
brok =>  náboj
brok =>  nábojnica
brok =>  patrón
brok =>  projektil
brok =>  strela
brožúra =>  knižka
brožúra =>  zošit
brucháč =>  pupkáč
brucho =>  bruško
brucho =>  žalúdok
bruneta =>  tmavovláska
brúsiť =>  nabrúsiť
brúsiť =>  naostriť
brúsiť =>  ostriť
brutálne =>  surovo
brutto =>  hrubý
brvno =>  klada
brvno =>  kôl
brvno =>  nosník
brvno =>  pilóta
brvno =>  traverza
brvno =>  trám
brvno =>  tyč
brvno =>  žrď
bubák =>  duch
bubák =>  duša
bubák =>  fantóm
bubák =>  fatamorgána
bubák =>  halucinácia
bubák =>  prelud
bubák =>  prízrak
bubák =>  strašiak
bubák =>  strašidlo
bubák =>  vidina
bubák =>  zjavenie
bublanie =>  zurčanie
bublať =>  klokotať
bublať =>  zurčať
bubon =>  valec
bacuľatý =>  kyprý
bacuľatý =>  okrúhly
bacuľatý =>  plnoštíhly
bacuľatý =>  sypký
bacuľatý =>  zaoblený
búda =>  chatrč
búda =>  chyža
búda =>  kôlňa
budiť =>  vyvolávať
budiť =>  vzbudzovať
búdka =>  kabínka
búdka =>  klietka
búdka =>  kója
budovateľ =>  pôvodca
budovateľ =>  stvoriteľ
budovateľ =>  tvorca
budovateľ =>  výrobca
buďte tak láskavý =>  prosím
budúci =>  druhý
budúci =>  ešte jeden
budúci =>  nasledujúci
budúci =>  nový
budúci =>  následný
budúci =>  ďalší
bufet =>  jedáleň
buch =>  bum
buch =>  prásk
buchnúť =>  prasknúť
buchnúť =>  žuchnúť
bujný =>  kvitnúci
bujný =>  plodný
bujný =>  podnetný
bujný =>  produktívny
bujný =>  tvorivý
bujný =>  úrodný
bujný =>  žírny
bungalov =>  chalupa
bungalov =>  chata
bungalov =>  domček
bungalov =>  horská búda
bunker =>  hradisko
bunker =>  kryt
bunker =>  pevnosť
bunker =>  pevnôstka
burácanie =>  krik
burácanie =>  rev
burácanie =>  vreskot
burácanie =>  vrieskanie
burácať =>  dunieť
burácať =>  hrmieť
burácať =>  hučať
burácať =>  rachotiť
burič =>  nespokojenec
burič =>  povstalec
burič =>  rebel
burič =>  vzbúrenec
búrka =>  cyklón
búrka =>  hurikán
búrka =>  orkán
búrka =>  smršť
búrka =>  tornádo
búrka =>  uragán
búrka =>  víchrica
búšenie =>  tlkot
búšiť =>  mlátiť
búšiť =>  pulzovať
búšiť =>  tepať
búšiť =>  trieskať
búšiť =>  tĺcť
bydlisko =>  byt
bydlisko =>  bytová jednotka
bydlisko =>  dom
bydlisko =>  domov
bydlisko =>  domácnosť
bydlisko =>  obydlie
bydlisko =>  príbytok
bydlisko =>  rezidencia
bydlisko =>  sídlo
byrokrat =>  úradný šimeľ
bystrosť =>  chytrosť
bystrosť =>  duchaplnosť
bystrosť =>  dômysel
bystrosť =>  dôvtip
bystrosť =>  inteligencia
bystrosť =>  vynaliezavosť
bystrosť =>  zdravý rozum
bystrý =>  citlivý
bystrý =>  cítiaci
bystrý =>  pozorný
bystrý =>  precitlivený
bystrý =>  prístupný
bystrý =>  senzitívny
bystrý =>  vnímajúci
bystrý =>  vnímavý
bystrý =>  všímavý
byť dlžný =>  dlžiť
byť =>  existovať
byť =>  žiť
byť hoden =>  zasluhovať
byť hoden =>  zaslúžiť
byť hoden =>  zaslúžiť si
bytie =>  celý život
bytie =>  existencia
bytie =>  život
byť jednou z príčin =>  prispieť ku
plynúť =>  vyplývať
plynúť =>  znamenať
byť neposlušný =>  neposlúchať
byť nerozhodný =>  okúňať
byť nerozhodný =>  otáľať
byť nerozhodný =>  rozpakovať sa
byť nerozhodný =>  váhať
byť nerozhodný =>  zaváhať
byť otcom =>  plodiť
byť otcom =>  rodiť
byť otcom =>  splodiť
byť otcom =>  zrodiť
byť platný =>  mať platnosť
byť platný =>  platiť
byť platný =>  týkať sa
byť podporou =>  napomáhať
byť podporou =>  podporiť
byť podporou =>  podporovať
byť podporou =>  posilniť
byť podporou =>  povzbudiť
byť podporou =>  povzbudzovať
byť podporou =>  presadzovať
byť podporou =>  schvaľovať
byť príčinou =>  indukovať
byť príčinou =>  navodiť
byť príčinou =>  podnietiť
byť príčinou =>  prebudiť
byť príčinou =>  privodiť
byť príčinou =>  spôsobiť
byť príčinou =>  vyvolať
byť príčinou =>  vzbudiť
byť príčinou =>  zapríčiniť
byť pripravený =>  očakávať
byť pripravený =>  predpokladať
byť pripravený =>  čakať
byť vhodný =>  vyhovovať
byť v prevádzke =>  fungovať
byť v prevádzke =>  klapať
byť v rozpore =>  nesúhlasiť
byť v rozpore =>  odporovať
byť v rozpore =>  priečiť sa
byť v spore =>  žiť v nepriateľstve
byť v súhlase =>  byť v súlade
byť v súhlase =>  byť v zhode
byť v súhlase =>  korešpondovať
byť v súhlase =>  kryť sa
byť v súhlase =>  súhlasiť
byť v súhlase =>  zhodovať sa
byť v súhlase =>  zodpovedať
bývalý =>  minulý
bývalý =>  niekdajší
bývalý =>  predchádzajúci
bývalý =>  predošlý
bývalý =>  pôvodný
bývalý =>  skorší
bývať =>  obývať
bzukot =>  bzučanie
bzučať =>  drnčať
bzučať =>  rinčať
Carihrad =>  Istanbul
cecok =>  struk
cediť =>  filtrovať
ceknúť =>  hlesnúť
cela =>  kobka
celistvosť =>  integrita
celistvosť =>  jednomyseľnosť
celistvosť =>  jednota
celistvý =>  celkový
celistvý =>  celý
celistvý =>  kompletný
celistvý =>  neskrátený
celistvý =>  plný
celistvý =>  stopercentný
celistvý =>  totálny
celistvý =>  úplný
celok =>  komplex
celok =>  súbor
celok =>  úhrn
celosvetový =>  internacionálny
celosvetový =>  medzinárodný
celosvetový =>  svetový
cena =>  cennosť
cena =>  dôležitosť
cena =>  hodnota
cena =>  odmena
cena =>  prémia
cena =>  vzácnosť
cena =>  význam
cengať =>  cinkať
cengať =>  zacinkať
cengať =>  zazvoniť
cengať =>  znieť
cengať =>  zvoniť
cengať =>  zvučať
ceniť si =>  ctiť
ceniť si =>  uctievať
ceniť si =>  vážiť si
cenný =>  drahocenný
cenný =>  drahý
cenný =>  hodnotný
cenný =>  honosný
cenný =>  luxusný
cenný =>  nákladný
cenný =>  prepychový
cenný =>  vzácny
cenný =>  významný
cenný =>  význačný
centrum =>  centrála
centrum =>  ústredie
centrum =>  ústredňa
